      0.0000      1.0000      1.5000      1.5000      0.6860      0.1539      3.8578      0.0000  1.0000E-10      0.0000  2.1009E+03
     26.5907      1.0000      1.5000      1.5000      0.6886      0.1553      3.8578      0.0000  1.0000E-10      0.0000  2.0922E+03
     53.1814      1.0000      1.5000      1.5000      0.6913      0.1567      3.8577      0.0000  1.0000E-10      0.0000  2.0836E+03
     79.7720      1.0000      1.5000      1.5000      0.6939      0.1581      3.8577      0.0000  1.0000E-10      0.0000  2.0749E+03
    106.3627      1.0000      1.5000      1.5000      0.6965      0.1596      3.8576      0.0000  1.0000E-10      0.0000  2.0662E+03
    132.9534      1.0000      1.5000      1.5000      0.6991      0.1610      3.8576      0.0000  1.0000E-10      0.0000  2.0576E+03
    159.5441      1.0000      1.5000      1.5000      0.7017      0.1624      3.8575      0.0000  1.0000E-10      0.0000  2.0489E+03
    186.1348      1.0000      1.5000      1.5000      0.7043      0.1639      3.8574      0.0000  1.0000E-10      0.0000  2.0403E+03
    212.7254      1.0000      1.5000      1.5000      0.7069      0.1653      3.8573      0.0000  1.0000E-10      0.0000  2.0316E+03
    239.3161      1.0000      1.5000      1.5000      0.7094      0.1668      3.8572      0.0000  1.0000E-10      0.0000  2.0229E+03
    265.9068      1.0000      1.5000      1.5000      0.7119      0.1682      3.8572      0.0000  1.0000E-10      0.0000  2.0142E+03
    292.4975      1.0000      1.5000      1.5000      0.7145      0.1697      3.8570      0.0000  1.0000E-10      0.0000  2.0055E+03
    319.0882      1.0000      1.5000      1.5000      0.7170      0.1712      3.8569      0.0000  1.0000E-10      0.0000  1.9967E+03
    345.6788      1.0000      1.5000      1.5000      0.7195      0.1726      3.8568      0.0000  1.0000E-10      0.0000  1.9879E+03
    372.2695      1.0000      1.5000      1.5000      0.7220      0.1741      3.8567      0.0000  1.0000E-10      0.0000  1.9790E+03
    398.8602      1.0000      1.5000      1.5000      0.7244      0.1757      3.8565      0.0000  1.0000E-10      0.0000  1.9701E+03
    425.4509      1.0000      1.5000      1.5000      0.7269      0.1772      3.8564      0.0000  1.0000E-10      0.0000  1.9612E+03
    452.0416      1.0000      1.5000      1.5000      0.7293      0.1787      3.8562      0.0000  1.0000E-10      0.0000  1.9522E+03
    478.6323      1.0000      1.5000      1.5000      0.7318      0.1803      3.8561      0.0000  1.0000E-10      0.0000  1.9431E+03
    505.2229      1.0000      1.5000      1.5000      0.7342      0.1818      3.8559      0.0000  1.0000E-10      0.0000  1.9340E+03
    531.8136      1.0000      1.5000      1.5000      0.7366      0.1834      3.8557      0.0000  1.0000E-10      0.0000  1.9248E+03
    558.4043      1.0000      1.5000      1.5000      0.7390      0.1850      3.8555      0.0000  1.0000E-10      0.0000  1.9155E+03
    584.9950      1.0000      1.5000      1.5000      0.7413      0.1867      3.8553      0.0000  1.0000E-10      0.0000  1.9062E+03
    611.5856      1.0000      1.5000      1.5000      0.7437      0.1883      3.8550      0.0000  1.0000E-10      0.0000  1.8967E+03
    638.1763      1.0000      1.5000      1.5000      0.7460      0.1900      3.8548      0.0000  1.0000E-10      0.0000  1.8872E+03
    664.7670      1.0000      1.5000      1.5000      0.7484      0.1916      3.8545      0.0000  1.0000E-10      0.0000  1.8776E+03
    691.3577      1.0000      1.5000      1.5000      0.7507      0.1933      3.8543      0.0000  1.0000E-10      0.0000  1.8680E+03
    717.9484      1.0000      1.5000      1.5000      0.7530      0.1951      3.8540      0.0000  1.0000E-10      0.0000  1.8582E+03
    744.5391      1.0000      1.5000      1.5000      0.7553      0.1968      3.8537      0.0000  1.0000E-10      0.0000  1.8483E+03
    771.1298      1.0000      1.5000      1.5000      0.7576      0.1986      3.8534      0.0000  1.0000E-10      0.0000  1.8383E+03
    797.7204      1.0000      1.5000      1.5000      0.7598      0.2004      3.8530      0.0000  1.0000E-10      0.0000  1.8282E+03
    824.3111      1.0000      1.5000      1.5000      0.7621      0.2022      3.8527      0.0000  1.0000E-10      0.0000  1.8180E+03
    850.9018      1.0000      1.5000      1.5000      0.7643      0.2041      3.8523      0.0000  1.0000E-10      0.0000  1.8077E+03
    877.4924      1.0000      1.5000      1.5000      0.7666      0.2060      3.8519      0.0000  1.0000E-10      0.0000  1.7973E+03
    904.0831      1.0000      1.5000      1.5000      0.7688      0.2079      3.8515      0.0000  1.0000E-10      0.0000  1.7868E+03
    930.6738      1.0000      1.5000      1.5000      0.7710      0.2098      3.8511      0.0000  1.0000E-10      0.0000  1.7761E+03
    957.2645      1.0000      1.5000      1.5000      0.7731      0.2118      3.8507      0.0000  1.0000E-10      0.0000  1.7653E+03
    983.8552      1.0000      1.5000      1.5000      0.7753      0.2138      3.8502      0.0000  1.0000E-10      0.0000  1.7544E+03
   1010.4459      1.0000      1.5000      1.5000      0.7775      0.2158      3.8497      0.0000  1.0000E-10      0.0000  1.7434E+03
   1037.0365      1.0000      1.5000      1.5000      0.7796      0.2179      3.8492      0.0000  1.0000E-10      0.0000  1.7322E+03
   1063.6272      1.0000      1.5000      1.5000      0.7818      0.2200      3.8487      0.0000  1.0000E-10      0.0000  1.7209E+03
   1090.2179      1.0000      1.5000      1.5000      0.7839      0.2222      3.8482      0.0000  1.0000E-10      0.0000  1.7095E+03
   1116.8086      1.0000      1.5000      1.5000      0.7860      0.2243      3.8476      0.0000  1.0000E-10      0.0000  1.6979E+03
   1143.3993      1.0000      1.5000      1.5000      0.7881      0.2266      3.8470      0.0000  1.0000E-10      0.0000  1.6862E+03
   1169.9900      1.0000      1.5000      1.5000      0.7901      0.2288      3.8464      0.0000  1.0000E-10      0.0000  1.6744E+03
